,file,algorithm,slots,runtime
0,data_10-0.02-243.in,code1,2,0.000000e+00
1,data_10-0.02-243.in,code2,2,0.000000e+00
2,data_10-0.02-4703.in,code1,1,0.000000e+00
3,data_10-0.02-4703.in,code2,2,0.000000e+00
4,data_10-0.02-97033.in,code1,2,0.000000e+00
5,data_10-0.02-97033.in,code2,2,0.000000e+00
6,data_10-0.04-243.in,code1,2,0.000000e+00
7,data_10-0.04-243.in,code2,2,0.000000e+00
8,data_10-0.04-4703.in,code1,2,0.000000e+00
9,data_10-0.04-4703.in,code2,2,0.000000e+00
10,data_10-0.04-97033.in,code1,2,0.000000e+00
11,data_10-0.04-97033.in,code2,2,0.000000e+00
12,data_10-0.08-243.in,code1,2,0.000000e+00
13,data_10-0.08-243.in,code2,2,0.000000e+00
14,data_10-0.08-4703.in,code1,2,0.000000e+00
15,data_10-0.08-4703.in,code2,2,0.000000e+00
16,data_10-0.08-97033.in,code1,2,0.000000e+00
17,data_10-0.08-97033.in,code2,2,0.000000e+00
18,data_10-0.16-243.in,code1,3,0.000000e+00
19,data_10-0.16-243.in,code2,3,0.000000e+00
20,data_10-0.16-4703.in,code1,2,0.000000e+00
21,data_10-0.16-4703.in,code2,2,0.000000e+00
22,data_10-0.16-97033.in,code1,2,0.000000e+00
23,data_10-0.16-97033.in,code2,2,0.000000e+00
24,data_10-0.32-243.in,code1,4,0.000000e+00
25,data_10-0.32-243.in,code2,4,0.000000e+00
26,data_10-0.32-4703.in,code1,3,0.000000e+00
27,data_10-0.32-4703.in,code2,3,0.000000e+00
28,data_10-0.32-97033.in,code1,3,0.000000e+00
29,data_10-0.32-97033.in,code2,3,0.000000e+00
30,data_10-0.64-243.in,code1,5,0.000000e+00
31,data_10-0.64-243.in,code2,5,0.000000e+00
32,data_10-0.64-4703.in,code1,5,0.000000e+00
33,data_10-0.64-4703.in,code2,5,0.000000e+00
34,data_10-0.64-97033.in,code1,6,0.000000e+00
35,data_10-0.64-97033.in,code2,6,0.000000e+00
36,data_2-0.02-243.in,code1,1,0.000000e+00
37,data_2-0.02-243.in,code2,2,0.000000e+00
38,data_2-0.02-4703.in,code1,1,0.000000e+00
39,data_2-0.02-4703.in,code2,2,0.000000e+00
40,data_2-0.02-97033.in,code1,1,0.000000e+00
41,data_2-0.02-97033.in,code2,2,0.000000e+00
42,data_2-0.04-243.in,code1,1,0.000000e+00
43,data_2-0.04-243.in,code2,2,0.000000e+00
44,data_2-0.04-4703.in,code1,1,0.000000e+00
45,data_2-0.04-4703.in,code2,2,0.000000e+00
46,data_2-0.04-97033.in,code1,1,0.000000e+00
47,data_2-0.04-97033.in,code2,2,0.000000e+00
48,data_2-0.08-243.in,code1,1,0.000000e+00
49,data_2-0.08-243.in,code2,2,0.000000e+00
50,data_2-0.08-4703.in,code1,1,0.000000e+00
51,data_2-0.08-4703.in,code2,2,0.000000e+00
52,data_2-0.08-97033.in,code1,1,0.000000e+00
53,data_2-0.08-97033.in,code2,2,0.000000e+00
54,data_2-0.16-243.in,code1,1,0.000000e+00
55,data_2-0.16-243.in,code2,2,0.000000e+00
56,data_2-0.16-4703.in,code1,1,0.000000e+00
57,data_2-0.16-4703.in,code2,2,0.000000e+00
58,data_2-0.16-97033.in,code1,1,0.000000e+00
59,data_2-0.16-97033.in,code2,2,0.000000e+00
60,data_2-0.32-243.in,code1,1,0.000000e+00
61,data_2-0.32-243.in,code2,2,0.000000e+00
62,data_2-0.32-4703.in,code1,1,0.000000e+00
63,data_2-0.32-4703.in,code2,2,0.000000e+00
64,data_2-0.32-97033.in,code1,1,0.000000e+00
65,data_2-0.32-97033.in,code2,2,0.000000e+00
66,data_2-0.64-243.in,code1,1,0.000000e+00
67,data_2-0.64-243.in,code2,2,0.000000e+00
68,data_2-0.64-4703.in,code1,1,0.000000e+00
69,data_2-0.64-4703.in,code2,2,0.000000e+00
70,data_2-0.64-97033.in,code1,1,0.000000e+00
71,data_2-0.64-97033.in,code2,2,0.000000e+00
72,data_20-0.02-243.in,code1,2,0.000000e+00
73,data_20-0.02-243.in,code2,2,0.000000e+00
74,data_20-0.02-4703.in,code1,2,0.000000e+00
75,data_20-0.02-4703.in,code2,2,0.000000e+00
76,data_20-0.02-97033.in,code1,2,0.000000e+00
77,data_20-0.02-97033.in,code2,2,0.000000e+00
78,data_20-0.04-243.in,code1,2,0.000000e+00
79,data_20-0.04-243.in,code2,2,0.000000e+00
80,data_20-0.04-4703.in,code1,3,0.000000e+00
81,data_20-0.04-4703.in,code2,3,0.000000e+00
82,data_20-0.04-97033.in,code1,3,0.000000e+00
83,data_20-0.04-97033.in,code2,3,0.000000e+00
84,data_20-0.08-243.in,code1,3,0.000000e+00
85,data_20-0.08-243.in,code2,3,0.000000e+00
86,data_20-0.08-4703.in,code1,3,0.000000e+00
87,data_20-0.08-4703.in,code2,3,0.000000e+00
88,data_20-0.08-97033.in,code1,3,0.000000e+00
89,data_20-0.08-97033.in,code2,3,0.000000e+00
90,data_20-0.16-243.in,code1,3,0.000000e+00
91,data_20-0.16-243.in,code2,3,0.000000e+00
92,data_20-0.16-4703.in,code1,3,0.000000e+00
93,data_20-0.16-4703.in,code2,3,0.000000e+00
94,data_20-0.16-97033.in,code1,4,0.000000e+00
95,data_20-0.16-97033.in,code2,4,0.000000e+00
96,data_20-0.32-243.in,code1,4,0.000000e+00
97,data_20-0.32-243.in,code2,4,0.000000e+00
98,data_20-0.32-4703.in,code1,4,2.000000e-03
99,data_20-0.32-4703.in,code2,4,0.000000e+00
100,data_20-0.32-97033.in,code1,5,0.000000e+00
101,data_20-0.32-97033.in,code2,5,0.000000e+00
102,data_20-0.64-243.in,code1,6,0.000000e+00
103,data_20-0.64-243.in,code2,6,0.000000e+00
104,data_20-0.64-4703.in,code1,7,3.000000e-03
105,data_20-0.64-4703.in,code2,7,1.000000e-03
106,data_20-0.64-97033.in,code1,8,2.000000e-03
107,data_20-0.64-97033.in,code2,8,1.000000e-03
108,data_30-0.02-243.in,code1,2,1.400000e-02
109,data_30-0.02-243.in,code2,2,1.400000e-02
110,data_30-0.02-4703.in,code1,3,1.140000e-01
111,data_30-0.02-4703.in,code2,3,1.140000e-01
112,data_30-0.02-97033.in,code1,2,0.000000e+00
113,data_30-0.02-97033.in,code2,2,0.000000e+00
114,data_30-0.04-243.in,code1,2,1.200000e-02
115,data_30-0.04-243.in,code2,2,1.100000e-02
116,data_30-0.04-4703.in,code1,3,0.000000e+00
117,data_30-0.04-4703.in,code2,3,0.000000e+00
118,data_30-0.04-97033.in,code1,2,4.000000e-03
119,data_30-0.04-97033.in,code2,2,3.000000e-03
120,data_30-0.08-243.in,code1,3,0.000000e+00
121,data_30-0.08-243.in,code2,3,0.000000e+00
122,data_30-0.08-4703.in,code1,3,2.000000e-03
123,data_30-0.08-4703.in,code2,3,1.000000e-03
124,data_30-0.08-97033.in,code1,3,4.000000e-03
125,data_30-0.08-97033.in,code2,3,2.000000e-03
126,data_30-0.16-243.in,code1,3,1.000000e-03
127,data_30-0.16-243.in,code2,3,0.000000e+00
128,data_30-0.16-4703.in,code1,4,0.000000e+00
129,data_30-0.16-4703.in,code2,4,0.000000e+00
130,data_30-0.16-97033.in,code1,4,0.000000e+00
131,data_30-0.16-97033.in,code2,4,1.000000e-03
132,data_30-0.32-243.in,code1,5,2.000000e-03
133,data_30-0.32-243.in,code2,5,2.000000e-03
134,data_30-0.32-4703.in,code1,6,8.400000e-02
135,data_30-0.32-4703.in,code2,6,8.600000e-02
136,data_30-0.32-97033.in,code1,6,4.550000e-01
137,data_30-0.32-97033.in,code2,6,4.590000e-01
138,data_30-0.64-243.in,code1,8,5.590000e-01
139,data_30-0.64-243.in,code2,8,5.630000e-01
140,data_30-0.64-4703.in,code1,9,5.806000e+00
141,data_30-0.64-4703.in,code2,9,6.033000e+00
142,data_30-0.64-97033.in,code1,9,4.527000e+00
143,data_30-0.64-97033.in,code2,9,4.568000e+00
144,data_40-0.02-243.in,code1,2,0.000000e+00
145,data_40-0.02-243.in,code2,2,0.000000e+00
146,data_40-0.02-4703.in,code1,2,1.490000e-01
147,data_40-0.02-4703.in,code2,2,1.460000e-01
148,data_40-0.02-97033.in,code1,3,6.000000e-03
149,data_40-0.02-97033.in,code2,3,6.000000e-03
150,data_40-0.04-243.in,code1,2,0.000000e+00
151,data_40-0.04-243.in,code2,2,0.000000e+00
152,data_40-0.04-4703.in,code1,3,0.000000e+00
153,data_40-0.04-4703.in,code2,3,0.000000e+00
154,data_40-0.04-97033.in,code1,3,3.000000e-03
155,data_40-0.04-97033.in,code2,3,4.000000e-03
156,data_40-0.08-243.in,code1,3,0.000000e+00
157,data_40-0.08-243.in,code2,3,0.000000e+00
158,data_40-0.08-4703.in,code1,3,1.000000e-03
159,data_40-0.08-4703.in,code2,3,0.000000e+00
160,data_40-0.08-97033.in,code1,3,0.000000e+00
161,data_40-0.08-97033.in,code2,3,1.000000e-03
162,data_40-0.16-243.in,code1,4,1.000000e-03
163,data_40-0.16-243.in,code2,4,1.000000e-03
164,data_40-0.16-4703.in,code1,4,1.230000e-01
165,data_40-0.16-4703.in,code2,4,1.200000e-01
166,data_40-0.16-97033.in,code1,4,2.000000e-03
167,data_40-0.16-97033.in,code2,4,3.000000e-03
168,data_40-0.32-243.in,code1,6,2.396600e+01
169,data_40-0.32-243.in,code2,6,2.384800e+01
170,data_40-0.32-4703.in,code1,-1,3.000100e+01
171,data_40-0.32-4703.in,code2,-1,3.000100e+01
172,data_40-0.32-97033.in,code1,6,1.871500e+01
173,data_40-0.32-97033.in,code2,6,1.855600e+01
174,data_40-0.64-243.in,code1,-1,3.000100e+01
175,data_40-0.64-243.in,code2,-1,3.000100e+01
176,data_40-0.64-4703.in,code1,-1,3.000100e+01
177,data_40-0.64-4703.in,code2,-1,3.000100e+01
178,data_40-0.64-97033.in,code1,-1,3.000100e+01
179,data_40-0.64-97033.in,code2,-1,3.000100e+01
180,data_50-0.02-243.in,code1,3,1.340000e-01
181,data_50-0.02-243.in,code2,3,1.330000e-01
182,data_50-0.02-4703.in,code1,2,0.000000e+00
183,data_50-0.02-4703.in,code2,2,0.000000e+00
184,data_50-0.02-97033.in,code1,2,2.700000e-02
185,data_50-0.02-97033.in,code2,2,2.700000e-02
186,data_50-0.04-243.in,code1,3,2.000000e-03
187,data_50-0.04-243.in,code2,3,2.000000e-03
188,data_50-0.04-4703.in,code1,3,1.000000e-03
189,data_50-0.04-4703.in,code2,3,0.000000e+00
190,data_50-0.04-97033.in,code1,3,0.000000e+00
191,data_50-0.04-97033.in,code2,3,0.000000e+00
192,data_50-0.08-243.in,code1,3,2.680000e-01
193,data_50-0.08-243.in,code2,3,2.670000e-01
194,data_50-0.08-4703.in,code1,3,3.020000e-01
195,data_50-0.08-4703.in,code2,3,3.020000e-01
196,data_50-0.08-97033.in,code1,3,6.070000e-01
197,data_50-0.08-97033.in,code2,3,6.060000e-01
198,data_50-0.16-243.in,code1,5,1.113000e+00
199,data_50-0.16-243.in,code2,5,1.129000e+00
200,data_50-0.16-4703.in,code1,-1,3.000100e+01
201,data_50-0.16-4703.in,code2,-1,3.000100e+01
202,data_50-0.16-97033.in,code1,5,2.752600e+01
203,data_50-0.16-97033.in,code2,5,2.731200e+01
204,data_50-0.32-243.in,code1,-1,3.000100e+01
205,data_50-0.32-243.in,code2,-1,3.000100e+01
206,data_50-0.32-4703.in,code1,-1,3.000100e+01
207,data_50-0.32-4703.in,code2,-1,3.000100e+01
208,data_50-0.32-97033.in,code1,-1,3.000100e+01
209,data_50-0.32-97033.in,code2,-1,3.000100e+01
210,data_50-0.64-243.in,code1,-1,3.000100e+01
211,data_50-0.64-243.in,code2,-1,3.000100e+01
212,data_50-0.64-4703.in,code1,-1,3.000100e+01
213,data_50-0.64-4703.in,code2,-1,3.000100e+01
214,data_50-0.64-97033.in,code1,-1,3.000100e+01
215,data_50-0.64-97033.in,code2,-1,3.000100e+01
